ItemNumber,InventoryUnitSymbol,UnitCost,PurchId,InvoiceId,PackingSlipId,PurchUnit,PurchPrice,InvoiceDocumentDate,CreatedDateTimeInvoice,NumUnit,UnitPrice
100000,U.,23.3,MSA-009092,FA01-0015445,016-000154,Emp.6,139.83,2021-02-24,2021-03-03T19:34:27Z,6,23.31
100001,U.,23.3,MSA-009092,FA01-0015445,016-000154,Emp.6,139.83,2021-02-24,2021-03-03T19:34:27Z,6,23.31
100002,U.,23.3,MSA-009092,FA01-0015445,016-000154,Emp.6,139.83,2021-02-24,2021-03-03T19:34:27Z,6,23.31
100003,U.,15.48,MSA-009092,FA01-0015446,016-000155,Emp.6,78.8119,2021-02-24,2021-03-03T19:41:01Z,6,13.14
100004,U.,9.68,MSA-009092,FA01-0015446,016-000155,Emp.6,78.8125,2021-02-24,2021-03-03T19:41:01Z,6,13.14
100005,U.,15.19,MSA-009092,FA01-0015446,016-000155,Emp.12,218.644,2021-02-24,2021-03-03T19:41:01Z,12,18.22
100006,U.,18.22,MSA-009092,FA01-0015446,016-000155,Emp.12,218.6419,2021-02-24,2021-03-03T19:41:01Z,12,18.22
100007,U.,18.22,MSA-009092,FA01-0015446,016-000155,Emp.12,218.6433,2021-02-24,2021-03-03T19:41:01Z,12,18.22
100008,U.,0,,,,,,,,,
100009,U.,8.2,MSA-009092,FA01-0015445,016-000154,Emp.6,50.1353,2021-02-24,2021-03-03T19:34:27Z,6,8.36
100010,U.,8.24,MSA-009092,FA01-0015445,016-000154,Emp.6,50.1355,2021-02-24,2021-03-03T19:34:27Z,6,8.36
100011,U.,8.3,MSA-009092,FA01-0015445,016-000154,Emp.6,50.1355,2021-02-24,2021-03-03T19:34:27Z,6,8.36
100012,U.,5.49,MSA-009092,FA01-0015445,016-000154,Emp.12,66.1018,2021-02-24,2021-03-03T19:34:27Z,12,5.51
100013,U.,5.8,MSA-009092,FA01-0015445,016-000154,Emp.12,66.1017,2021-02-24,2021-03-03T19:34:27Z,12,5.51
100014,U.,16.79,MSA-009092,FA01-0015446,016-000155,Emp.12,209.4915,2021-02-24,2021-03-03T19:41:01Z,12,17.46
100015,U.,17.35,MSA-009092,FA01-0015446,016-000155,Emp.12,209.491,2021-02-24,2021-03-03T19:41:01Z,12,17.46
100016,U.,2.96,,,,,,,,,
100017,U.,0,,,,,,,,,
100018,U.,14.67,MSA-009092,FA01-0015445,016-000154,Emp.12,175.932,2021-02-24,2021-03-03T19:34:27Z,12,14.66
100019,U.,15.96,MSA-009092,FA01-0015446,016-000155,Emp.12,209.492,2021-02-24,2021-03-03T19:41:01Z,12,17.46
100020,U.,3.91,MSA-007329,FB01-0005956,017-0003047,Emp.12,45.7627,2021-01-18,2021-02-09T17:21:37Z,12,3.81
100021,U.,0,,,,,,,,,
100022,U.,10.16,MSA-009092,FA01-0015445,016-000154,Emp.12,122.0336,2021-02-24,2021-03-03T19:34:27Z,12,10.17
100023,U.,10.55,MSA-009092,FA01-0015445,016-000154,Emp.12,122.037,2021-02-24,2021-03-03T19:34:27Z,12,10.17
100024,U.,10.07,MSA-009092,FA01-0015445,016-000154,Emp.12,122.0339,2021-02-24,2021-03-03T19:34:27Z,12,10.17
100025,U.,7.17,MSA-009092,FA01-0015447,016-000156,Emp.12,116.949,2021-02-24,2021-03-03T19:42:51Z,12,9.75
100026,U.,10.17,MSA-009092,FA01-0015447,016-000156,Emp.12,122.036,2021-02-24,2021-03-03T19:42:51Z,12,10.17
100027,U.,2.5,,,,,,,,,
100028,U.,2.07,,,,,,,,,
100029,SA.,80.17,MSA-006688,FE11-00016354,011-0133737,SA,80.1695,2020-12-17,2020-12-22T13:59:37Z,1,80.17
100030,U.,10.1,,,,,,,,,
100031,U.,2.01,,,,,,,,,
100032,U.,18.62,MSA-006746,F010-00000222,0002-0001029,U,18.6441,2020-12-20,2020-12-23T22:50:42Z,1,18.64
